"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Estimate Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","670,022","±4,073","670,022","(X)"
"    Occupied housing units","575,413","±6,623","85.9%","±0.9"
"    Vacant housing units","94,609","±5,884","14.1%","±0.9"
"    Homeowner vacancy rate","3.4","±0.6","(X)","(X)"
"    Rental vacancy rate","7.3","±0.9","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","670,022","±4,073","670,022","(X)"
"    1-unit, detached","55,482","±3,827","8.3%","±0.6"
"    1-unit, attached","393,404","±7,545","58.7%","±1.0"
"    2 units","57,367","±4,331","8.6%","±0.7"
"    3 or 4 units","41,204","±3,336","6.1%","±0.5"
"    5 to 9 units","24,504","±2,812","3.7%","±0.4"
"    10 to 19 units","15,348","±2,498","2.3%","±0.4"
"    20 or more units","81,776","±4,350","12.2%","±0.6"
"    Mobile home","877","±590","0.1%","±0.1"
"    Boat, RV, van, etc.","60","±98","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","670,022","±4,073","670,022","(X)"
"    Built 2005 or later","11,731","±1,874","1.8%","±0.3"
"    Built 2000 to 2004","9,587","±1,754","1.4%","±0.3"
"    Built 1990 to 1999","17,619","±2,013","2.6%","±0.3"
"    Built 1980 to 1989","23,418","±2,581","3.5%","±0.4"
"    Built 1970 to 1979","41,987","±3,327","6.3%","±0.5"
"    Built 1960 to 1969","69,843","±4,201","10.4%","±0.6"
"    Built 1950 to 1959","115,387","±5,313","17.2%","±0.8"
"    Built 1940 to 1949","105,562","±5,754","15.8%","±0.8"
"    Built 1939 or earlier","274,888","±6,696","41.0%","±1.1"
"ROOMS","","","",""
"    Total housing units","670,022","±4,073","670,022","(X)"
"    1 room","24,131","±2,978","3.6%","±0.4"
"    2 rooms","22,759","±2,330","3.4%","±0.3"
"    3 rooms","82,123","±5,016","12.3%","±0.7"
"    4 rooms","97,028","±5,171","14.5%","±0.8"
"    5 rooms","95,781","±4,715","14.3%","±0.7"
"    6 rooms","183,020","±6,856","27.3%","±1.0"
"    7 rooms","86,517","±5,006","12.9%","±0.7"
"    8 rooms","42,796","±2,708","6.4%","±0.4"
