"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","674,504","±1,484","674,504","(X)"
"        Occupied housing units","580,205","±5,087","86.0%","±0.7"
"        Vacant housing units","94,299","±4,666","14.0%","±0.7"
"    Homeowner vacancy rate","2.7","±0.6","(X)","(X)"
"    Rental vacancy rate","7.0","±0.9","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","674,504","±1,484","674,504","(X)"
"        1-unit, detached","52,307","±2,955","7.8%","±0.4"
"        1-unit, attached","393,950","±6,289","58.4%","±0.9"
"        2 units","55,777","±4,102","8.3%","±0.6"
"        3 or 4 units","43,867","±3,285","6.5%","±0.5"
"        5 to 9 units","26,878","±2,497","4.0%","±0.4"
"        10 to 19 units","15,605","±1,810","2.3%","±0.3"
"        20 or more units","84,284","±3,930","12.5%","±0.6"
"        Mobile home","1,639","±639","0.2%","±0.1"
"        Boat, RV, van, etc.","197","±154","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","674,504","±1,484","674,504","(X)"
"        Built 2014 or later","6,193","±1,058","0.9%","±0.2"
"        Built 2010 to 2013","8,586","±1,192","1.3%","±0.2"
"        Built 2000 to 2009","19,890","±2,043","2.9%","±0.3"
"        Built 1990 to 1999","22,276","±2,661","3.3%","±0.4"
"        Built 1980 to 1989","24,219","±2,888","3.6%","±0.4"
"        Built 1970 to 1979","44,945","±3,384","6.7%","±0.5"
"        Built 1960 to 1969","69,288","±3,673","10.3%","±0.5"
"        Built 1950 to 1959","104,188","±5,120","15.4%","±0.8"
"        Built 1940 to 1949","83,180","±4,645","12.3%","±0.7"
"        Built 1939 or earlier","291,739","±6,325","43.3%","±0.9"
"ROOMS","","","",""
"    Total housing units","674,504","±1,484","674,504","(X)"
"        1 room","27,810","±2,956","4.1%","±0.4"
"        2 rooms","33,489","±3,161","5.0%","±0.5"
"        3 rooms","74,509","±4,497","11.0%","±0.7"
"        4 rooms","91,461","±4,678","13.6%","±0.7"
"        5 rooms","100,903","±5,131","15.0%","±0.8"
"        6 rooms","177,994","±6,099","26.4%","±0.9"
"        7 rooms","90,348","±4,247","13.4%","±0.6"
"        8 rooms","40,688","±3,023","6.0%","±0.4"
"        9 rooms or more","37,302","±2,679","5.5%","±0.4"
"        Median rooms","5.6","±0.2","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","674,504","±1,484","674,504","(X)"
"        No bedroom","29,982","±2,935","4.4%","±0.4"
"        1 bedroom","108,674","±5,826","16.1%","±0.9"
"        2 bedrooms","144,897","±5,915","21.5%","±0.9"
"        3 bedrooms","313,773","±6,597","46.5%","±1.0"
"        4 bedrooms","58,687","±3,699","8.7%","±0.5"
"        5 or more bedrooms","18,491","±2,132","2.7%","±0.3"
"HOUSING TENURE","","","",""
