Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!One race!!White,RACE!!One race!!Black or African American,RACE!!One race!!American Indian and Alaska Native,RACE!!One race!!Asian,RACE!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!One race!!Some other race,RACE!!Two or more races,HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total housing units
ZCTA5 19102,,,,,,,,,,,
    Estimate,"3,592",,"2,974",224,29,222,0,38,105,414,"2,989"
    Percent,"3,592",,82.80%,6.20%,0.80%,6.20%,0.00%,1.10%,2.90%,11.50%,(X)
ZCTA5 19103,,,,,,,,,,,
    Estimate,"22,850",,"18,383","1,080",75,"2,622",0,218,472,"1,044","17,145"
    Percent,"22,850",,80.50%,4.70%,0.30%,11.50%,0.00%,1.00%,2.10%,4.60%,(X)
ZCTA5 19104,,,,,,,,,,,
    Estimate,"53,002",,"20,807","21,968",51,"7,963",166,783,"1,264","2,375","19,413"
    Percent,"53,002",,39.30%,41.40%,0.10%,15.00%,0.30%,1.50%,2.40%,4.50%,(X)
ZCTA5 19106,,,,,,,,,,,
    Estimate,"10,833",,"9,028",688,27,731,0,196,163,802,"7,248"
    Percent,"10,833",,83.30%,6.40%,0.20%,6.70%,0.00%,1.80%,1.50%,7.40%,(X)
ZCTA5 19107,,,,,,,,,,,
    Estimate,"11,802",,"7,452","1,152",11,"3,048",0,54,85,437,"7,991"
    Percent,"11,802",,63.10%,9.80%,0.10%,25.80%,0.00%,0.50%,0.70%,3.70%,(X)
ZCTA5 19111,,,,,,,,,,,
    Estimate,"67,295",,"39,388","14,620",278,"5,507",15,"5,552","1,935","9,285","25,494"
    Percent,"67,295",,58.50%,21.70%,0.40%,8.20%,0.00%,8.30%,2.90%,13.80%,(X)
ZCTA5 19112,,,,,,,,,,,
    Estimate,0,,0,0,0,0,0,0,0,0,0
    Percent,0,,-,-,-,-,-,-,-,-,(X)
ZCTA5 19114,,,,,,,,,,,
    Estimate,"30,745",,"25,362","3,170",16,"1,344",0,352,501,"2,117","13,676"
    Percent,"30,745",,82.50%,10.30%,0.10%,4.40%,0.00%,1.10%,1.60%,6.90%,(X)
ZCTA5 19115,,,,,,,,,,,
    Estimate,"32,605",,"25,552","1,772",25,"4,062",0,748,446,"1,900","14,228"
    Percent,"32,605",,78.40%,5.40%,0.10%,12.50%,0.00%,2.30%,1.40%,5.80%,(X)
ZCTA5 19116,,,,,,,,,,,
    Estimate,"32,338",,"26,219","1,614",17,"3,915",0,298,275,"1,409","13,222"
    Percent,"32,338",,81.10%,5.00%,0.10%,12.10%,0.00%,0.90%,0.90%,4.40%,(X)
ZCTA5 19118,,,,,,,,,,,
    Estimate,"9,261",,"7,662","1,088",43,264,0,15,189,349,"4,438"
    Percent,"9,261",,82.70%,11.70%,0.50%,2.90%,0.00%,0.20%,2.00%,3.80%,(X)
ZCTA5 19119,,,,,,,,,,,
    Estimate,"28,170",,"8,960","17,330",27,469,0,371,"1,013",882,"13,099"
    Percent,"28,170",,31.80%,61.50%,0.10%,1.70%,0.00%,1.30%,3.60%,3.10%,(X)
ZCTA5 19120,,,,,,,,,,,
    Estimate,"74,763",,"11,581","37,496",546,"9,920",808,"12,395","2,017","20,791","25,392"
    Percent,"74,763",,15.50%,50.20%,0.70%,13.30%,1.10%,16.60%,2.70%,27.80%,(X)
ZCTA5 19121,,,,,,,,,,,
    Estimate,"34,418",,"5,453","27,575",65,334,0,360,631,"1,098","17,008"
    Percent,"34,418",,15.80%,80.10%,0.20%,1.00%,0.00%,1.00%,1.80%,3.20%,(X)
ZCTA5 19122,,,,,,,,,,,
    Estimate,"19,343",,"7,682","6,986",213,770,53,"3,120",519,"5,848","7,132"
    Percent,"19,343",,39.70%,36.10%,1.10%,4.00%,0.30%,16.10%,2.70%,30.20%,(X)
ZCTA5 19123,,,,,,,,,,,
    Estimate,"12,267",,"5,665","5,378",8,688,0,194,334,"1,227","6,505"
    Percent,"12,267",,46.20%,43.80%,0.10%,5.60%,0.00%,1.60%,2.70%,10.00%,(X)
ZCTA5 19124,,,,,,,,,,,
    Estimate,"63,222",,"21,158","24,854",228,"2,468",80,"11,861","2,573","20,853","25,246"
    Percent,"63,222",,33.50%,39.30%,0.40%,3.90%,0.10%,18.80%,4.10%,33.00%,(X)
ZCTA5 19125,,,,,,,,,,,
    Estimate,"22,472",,"17,470","1,155",84,"1,787",29,"1,664",283,"3,544","10,363"
    Percent,"22,472",,77.70%,5.10%,0.40%,8.00%,0.10%,7.40%,1.30%,15.80%,(X)
ZCTA5 19126,,,,,,,,,,,
    Estimate,"16,531",,"1,299","13,732",0,713,0,477,310,630,"6,574"
    Percent,"16,531",,7.90%,83.10%,0.00%,4.30%,0.00%,2.90%,1.90%,3.80%,(X)
ZCTA5 19127,,,,,,,,,,,
