Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!One race!!White,RACE!!One race!!Black or African American,RACE!!One race!!American Indian and Alaska Native,RACE!!One race!!Asian,RACE!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!One race!!Some other race,RACE!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total housing units
ZCTA5 19102,,,,,,,,,,,
    Estimate,"4,354",,"3,564",166,42,469,0,20,93,651,"3,178"
    Percent,"4,354",,81.90%,3.80%,1.00%,10.80%,0.00%,0.50%,2.10%,15.00%,(X)
ZCTA5 19103,,,,,,,,,,,
    Estimate,"23,492",,"19,106","1,286",131,"2,518",0,111,340,"1,191","16,806"
    Percent,"23,492",,81.30%,5.50%,0.60%,10.70%,0.00%,0.50%,1.40%,5.10%,(X)
ZCTA5 19104,,,,,,,,,,,
    Estimate,"53,360",,"21,168","20,550",48,"8,453",98,"1,228","1,815","2,623","18,866"
    Percent,"53,360",,39.70%,38.50%,0.10%,15.80%,0.20%,2.30%,3.40%,4.90%,(X)
ZCTA5 19106,,,,,,,,,,,
    Estimate,"11,474",,"9,203","1,021",19,867,0,177,187,734,"7,103"
    Percent,"11,474",,80.20%,8.90%,0.20%,7.60%,0.00%,1.50%,1.60%,6.40%,(X)
ZCTA5 19107,,,,,,,,,,,
    Estimate,"12,319",,"7,802","1,017",26,"3,151",0,111,212,480,"7,759"
    Percent,"12,319",,63.30%,8.30%,0.20%,25.60%,0.00%,0.90%,1.70%,3.90%,(X)
ZCTA5 19111,,,,,,,,,,,
    Estimate,"69,367",,"38,663","15,667",165,"6,917",11,"5,662","2,282","11,295","25,623"
    Percent,"69,367",,55.70%,22.60%,0.20%,10.00%,0.00%,8.20%,3.30%,16.30%,(X)
ZCTA5 19112,,,,,,,,,,,
    Estimate,0,,0,0,0,0,0,0,0,0,0
    Percent,0,,-,-,-,-,-,-,-,-,(X)
ZCTA5 19114,,,,,,,,,,,
    Estimate,"30,952",,"25,767","3,118",47,"1,477",0,216,327,"2,020","13,628"
    Percent,"30,952",,83.20%,10.10%,0.20%,4.80%,0.00%,0.70%,1.10%,6.50%,(X)
ZCTA5 19115,,,,,,,,,,,
    Estimate,"32,504",,"25,488","1,504",127,"3,953",0,"1,008",424,"2,154","14,156"
    Percent,"32,504",,78.40%,4.60%,0.40%,12.20%,0.00%,3.10%,1.30%,6.60%,(X)
ZCTA5 19116,,,,,,,,,,,
    Estimate,"33,220",,"26,479","2,590",54,"3,715",0,119,263,"1,062","13,231"
    Percent,"33,220",,79.70%,7.80%,0.20%,11.20%,0.00%,0.40%,0.80%,3.20%,(X)
ZCTA5 19118,,,,,,,,,,,
    Estimate,"10,093",,"7,793","1,546",21,346,0,18,369,428,"4,566"
    Percent,"10,093",,77.20%,15.30%,0.20%,3.40%,0.00%,0.20%,3.70%,4.20%,(X)
ZCTA5 19119,,,,,,,,,,,
    Estimate,"29,012",,"9,136","17,588",97,516,0,403,"1,272",988,"13,279"
    Percent,"29,012",,31.50%,60.60%,0.30%,1.80%,0.00%,1.40%,4.40%,3.40%,(X)
ZCTA5 19120,,,,,,,,,,,
    Estimate,"77,645",,"10,880","38,568",879,"11,004",776,"13,156","2,382","23,160","25,293"
    Percent,"77,645",,14.00%,49.70%,1.10%,14.20%,1.00%,16.90%,3.10%,29.80%,(X)
ZCTA5 19121,,,,,,,,,,,
    Estimate,"32,787",,"5,481","25,261",67,764,0,364,850,"1,233","16,555"
    Percent,"32,787",,16.70%,77.00%,0.20%,2.30%,0.00%,1.10%,2.60%,3.80%,(X)
ZCTA5 19122,,,,,,,,,,,
    Estimate,"20,359",,"7,900","6,938",56,821,59,"3,704",881,"6,647","7,097"
    Percent,"20,359",,38.80%,34.10%,0.30%,4.00%,0.30%,18.20%,4.30%,32.60%,(X)
ZCTA5 19123,,,,,,,,,,,
    Estimate,"13,342",,"6,210","5,597",8,750,0,315,462,"1,373","7,234"
    Percent,"13,342",,46.50%,42.00%,0.10%,5.60%,0.00%,2.40%,3.50%,10.30%,(X)
ZCTA5 19124,,,,,,,,,,,
    Estimate,"64,015",,"22,449","25,058",206,"3,061",94,"10,377","2,770","22,422","25,618"
    Percent,"64,015",,35.10%,39.10%,0.30%,4.80%,0.10%,16.20%,4.30%,35.00%,(X)
ZCTA5 19125,,,,,,,,,,,
    Estimate,"22,560",,"17,462","1,197",88,"1,869",0,"1,480",464,"3,328","10,640"
    Percent,"22,560",,77.40%,5.30%,0.40%,8.30%,0.00%,6.60%,2.10%,14.80%,(X)
ZCTA5 19126,,,,,,,,,,,
    Estimate,"15,982",,"1,144","13,527",0,990,0,143,178,324,"6,426"
    Percent,"15,982",,7.20%,84.60%,0.00%,6.20%,0.00%,0.90%,1.10%,2.00%,(X)
ZCTA5 19127,,,,,,,,,,,
    Estimate,"6,032",,"5,289",572,0,79,0,20,72,319,"2,765"
    Percent,"6,032",,87.70%,9.50%,0.00%,1.30%,0.00%,0.30%,1.20%,5.30%,(X)
ZCTA5 19128,,,,,,,,,,,
    Estimate,"37,152",,"31,468","2,953",12,"1,328",22,583,786,"1,132","16,615"
    Percent,"37,152",,84.70%,7.90%,0.00%,3.60%,0.10%,1.60%,2.10%,3.00%,(X)
ZCTA5 19129,,,,,,,,,,,
    Estimate,"11,287",,"6,263","4,082",22,591,7,138,184,440,"5,277"
    Percent,"11,287",,55.50%,36.20%,0.20%,5.20%,0.10%,1.20%,1.60%,3.90%,(X)
ZCTA5 19130,,,,,,,,,,,
    Estimate,"26,743",,"17,940","6,321",64,"1,242",0,692,484,"1,982","13,896"
    Percent,"26,743",,67.10%,23.60%,0.20%,4.60%,0.00%,2.60%,1.80%,7.40%,(X)
ZCTA5 19131,,,,,,,,,,,
    Estimate,"43,493",,"6,354","33,938",153,"1,686",28,390,944,"1,418","21,474"
    Percent,"43,493",,14.60%,78.00%,0.40%,3.90%,0.10%,0.90%,2.20%,3.30%,(X)
ZCTA5 19132,,,,,,,,,,,
    Estimate,"35,930",,"1,371","33,789",108,94,0,135,433,"1,212","18,181"
    Percent,"35,930",,3.80%,94.00%,0.30%,0.30%,0.00%,0.40%,1.20%,3.40%,(X)
ZCTA5 19133,,,,,,,,,,,
    Estimate,"26,247",,"5,384","10,865",26,74,0,"9,255",643,"16,153","10,621"
    Percent,"26,247",,20.50%,41.40%,0.10%,0.30%,0.00%,35.30%,2.40%,61.50%,(X)
ZCTA5 19134,,,,,,,,,,,
    Estimate,"63,631",,"31,066","14,821",671,925,46,"13,104","2,998","28,685","23,223"
    Percent,"63,631",,48.80%,23.30%,1.10%,1.50%,0.10%,20.60%,4.70%,45.10%,(X)
ZCTA5 19135,,,,,,,,,,,
    Estimate,"31,886",,"20,866","6,783",82,835,42,"2,413",865,"6,165","13,346"
    Percent,"31,886",,65.40%,21.30%,0.30%,2.60%,0.10%,7.60%,2.70%,19.30%,(X)
ZCTA5 19136,,,,,,,,,,,
    Estimate,"34,873",,"26,936","5,751",10,698,4,623,851,"3,026","13,201"
