Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Total housing units
ZCTA5 19102,,,,,,,,,,,
    Estimate,"5,042",,"3,941",167,14,873,0,14,33,372,"3,370"
    Percent,"5,042",,78.20%,3.30%,0.30%,17.30%,0.00%,0.30%,0.70%,7.40%,(X)
ZCTA5 19103,,,,,,,,,,,
    Estimate,"22,940",,"17,938","1,514",111,"2,716",26,60,575,"1,380","16,773"
    Percent,"22,940",,78.20%,6.60%,0.50%,11.80%,0.10%,0.30%,2.50%,6.00%,(X)
ZCTA5 19104,,,,,,,,,,,
    Estimate,"55,205",,"20,509","23,946",178,"7,862",68,714,"1,928","2,660","19,638"
    Percent,"55,205",,37.20%,43.40%,0.30%,14.20%,0.10%,1.30%,3.50%,4.80%,(X)
ZCTA5 19106,,,,,,,,,,,
    Estimate,"12,045",,"9,534","1,299",19,900,0,76,217,758,"6,968"
    Percent,"12,045",,79.20%,10.80%,0.20%,7.50%,0.00%,0.60%,1.80%,6.30%,(X)
ZCTA5 19107,,,,,,,,,,,
    Estimate,"13,832",,"8,200","1,158",75,"3,809",0,154,436,639,"8,216"
    Percent,"13,832",,59.30%,8.40%,0.50%,27.50%,0.00%,1.10%,3.20%,4.60%,(X)
ZCTA5 19111,,,,,,,,,,,
    Estimate,"70,020",,"37,684","16,347",139,"7,382",0,"5,769","2,699","13,792","26,261"
    Percent,"70,020",,53.80%,23.30%,0.20%,10.50%,0.00%,8.20%,3.90%,19.70%,(X)
ZCTA5 19112,,,,,,,,,,,
    Estimate,0,,0,0,0,0,0,0,0,0,0
    Percent,0,,-,-,-,-,-,-,-,-,(X)
ZCTA5 19114,,,,,,,,,,,
    Estimate,"31,478",,"25,456","3,296",49,"1,201",0,"1,217",259,"2,613","13,683"
    Percent,"31,478",,80.90%,10.50%,0.20%,3.80%,0.00%,3.90%,0.80%,8.30%,(X)
ZCTA5 19115,,,,,,,,,,,
    Estimate,"33,832",,"24,929","2,954",166,"4,396",44,742,601,"2,728","14,233"
    Percent,"33,832",,73.70%,8.70%,0.50%,13.00%,0.10%,2.20%,1.80%,8.10%,(X)
ZCTA5 19116,,,,,,,,,,,
    Estimate,"34,194",,"24,828","2,328",120,"5,076",0,771,"1,071","1,824","13,246"
