Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races,Total housing units
ZCTA5 19102,,,,,,,,,,
    Estimate,"5,147",,"3,920",255,0,887,0,27,58,"3,619"
    Percent,"5,147",,76.20%,5.00%,0.00%,17.20%,0.00%,0.50%,1.10%,(X)
ZCTA5 19103,,,,,,,,,,
    Estimate,"24,214",,"18,338","1,592",13,"2,961",28,127,"1,155","17,613"
    Percent,"24,214",,75.70%,6.60%,0.10%,12.20%,0.10%,0.50%,4.80%,(X)
ZCTA5 19104,,,,,,,,,,
    Estimate,"53,560",,"19,703","23,034",302,"7,666",49,992,"1,814","20,053"
    Percent,"53,560",,36.80%,43.00%,0.60%,14.30%,0.10%,1.90%,3.40%,(X)
ZCTA5 19106,,,,,,,,,,
    Estimate,"12,592",,"10,512","1,032",27,695,10,37,279,"7,683"
    Percent,"12,592",,83.50%,8.20%,0.20%,5.50%,0.10%,0.30%,2.20%,(X)
ZCTA5 19107,,,,,,,,,,
    Estimate,"14,526",,"8,069","1,429",94,"4,082",0,246,606,"8,829"
    Percent,"14,526",,55.50%,9.80%,0.60%,28.10%,0.00%,1.70%,4.20%,(X)
ZCTA5 19111,,,,,,,,,,
    Estimate,"68,113",,"35,116","18,122",458,"6,606",0,"5,326","2,485","26,406"
    Percent,"68,113",,51.60%,26.60%,0.70%,9.70%,0.00%,7.80%,3.60%,(X)
ZCTA5 19112,,,,,,,,,,
    Estimate,0,,0,0,0,0,0,0,0,0
    Percent,0,,-,-,-,-,-,-,-,(X)
ZCTA5 19114,,,,,,,,,,
    Estimate,"31,668",,"24,993","3,506",56,"1,125",21,"1,378",589,"13,887"
    Percent,"31,668",,78.90%,11.10%,0.20%,3.60%,0.10%,4.40%,1.90%,(X)
ZCTA5 19115,,,,,,,,,,
    Estimate,"35,346",,"24,940","3,505",33,"5,307",63,643,855,"14,237"
    Percent,"35,346",,70.60%,9.90%,0.10%,15.00%,0.20%,1.80%,2.40%,(X)
ZCTA5 19116,,,,,,,,,,
    Estimate,"34,747",,"25,107","1,682",92,"5,402",0,"1,147","1,317","13,238"
    Percent,"34,747",,72.30%,4.80%,0.30%,15.50%,0.00%,3.30%,3.80%,(X)
ZCTA5 19118,,,,,,,,,,
    Estimate,"10,884",,"7,702","2,025",8,530,0,305,314,"4,718"
    Percent,"10,884",,70.80%,18.60%,0.10%,4.90%,0.00%,2.80%,2.90%,(X)
ZCTA5 19119,,,,,,,,,,
    Estimate,"28,192",,"9,573","16,309",23,541,0,325,"1,421","13,238"
    Percent,"28,192",,34.00%,57.80%,0.10%,1.90%,0.00%,1.20%,5.00%,(X)
ZCTA5 19120,,,,,,,,,,
    Estimate,"74,060",,"11,117","39,897",370,"7,414",12,"12,618","2,632","24,879"
    Percent,"74,060",,15.00%,53.90%,0.50%,10.00%,0.00%,17.00%,3.60%,(X)
ZCTA5 19121,,,,,,,,,,
    Estimate,"32,385",,"5,236","24,231",217,"1,373",69,628,631,"16,432"
    Percent,"32,385",,16.20%,74.80%,0.70%,4.20%,0.20%,1.90%,1.90%,(X)
ZCTA5 19122,,,,,,,,,,
    Estimate,"21,666",,"9,070","7,973",48,"1,416",0,"2,149","1,010","7,933"
    Percent,"21,666",,41.90%,36.80%,0.20%,6.50%,0.00%,9.90%,4.70%,(X)
ZCTA5 19123,,,,,,,,,,
    Estimate,"17,351",,"9,675","5,053",86,"1,410",0,406,721,"8,812"
    Percent,"17,351",,55.80%,29.10%,0.50%,8.10%,0.00%,2.30%,4.20%,(X)
ZCTA5 19124,,,,,,,,,,
    Estimate,"70,304",,"19,455","28,797",564,"3,548",103,"15,704","2,133","25,492"
    Percent,"70,304",,27.70%,41.00%,0.80%,5.00%,0.10%,22.30%,3.00%,(X)
ZCTA5 19125,,,,,,,,,,
    Estimate,"25,850",,"21,017","1,174",70,"1,567",0,"1,286",736,"11,665"
    Percent,"25,850",,81.30%,4.50%,0.30%,6.10%,0.00%,5.00%,2.80%,(X)
ZCTA5 19126,,,,,,,,,,
    Estimate,"15,656",,"1,186","12,985",0,425,4,316,740,"6,637"
    Percent,"15,656",,7.60%,82.90%,0.00%,2.70%,0.00%,2.00%,4.70%,(X)
ZCTA5 19127,,,,,,,,,,
    Estimate,"5,760",,"4,855",544,8,96,0,40,217,"3,051"
    Percent,"5,760",,84.30%,9.40%,0.10%,1.70%,0.00%,0.70%,3.80%,(X)
ZCTA5 19128,,,,,,,,,,
    Estimate,"37,644",,"29,389","5,364",119,"1,147",0,322,"1,303","17,478"
    Percent,"37,644",,78.10%,14.20%,0.30%,3.00%,0.00%,0.90%,3.50%,(X)
ZCTA5 19129,,,,,,,,,,
    Estimate,"11,275",,"6,721","3,427",15,433,0,153,526,"5,088"
    Percent,"11,275",,59.60%,30.40%,0.10%,3.80%,0.00%,1.40%,4.70%,(X)
ZCTA5 19130,,,,,,,,,,
    Estimate,"27,093",,"18,997","4,704",22,"2,276",0,239,855,"15,534"
    Percent,"27,093",,70.10%,17.40%,0.10%,8.40%,0.00%,0.90%,3.20%,(X)
ZCTA5 19131,,,,,,,,,,
    Estimate,"44,723",,"5,550","36,093",157,"1,548",82,402,891,"21,361"
    Percent,"44,723",,12.40%,80.70%,0.40%,3.50%,0.20%,0.90%,2.00%,(X)
ZCTA5 19132,,,,,,,,,,
    Estimate,"31,378",,980,"28,955",62,346,0,394,641,"18,112"
    Percent,"31,378",,3.10%,92.30%,0.20%,1.10%,0.00%,1.30%,2.00%,(X)
ZCTA5 19133,,,,,,,,,,
    Estimate,"27,102",,"7,407","10,235",149,254,0,"8,452",605,"10,377"
    Percent,"27,102",,27.30%,37.80%,0.50%,0.90%,0.00%,31.20%,2.20%,(X)
ZCTA5 19134,,,,,,,,,,
    Estimate,"62,087",,"33,053","10,383",344,"1,108",0,"14,720","2,479","23,618"
    Percent,"62,087",,53.20%,16.70%,0.60%,1.80%,0.00%,23.70%,4.00%,(X)
ZCTA5 19135,,,,,,,,,,
    Estimate,"35,427",,"19,914","7,586",175,"2,126",0,"4,015","1,611","13,247"
    Percent,"35,427",,56.20%,21.40%,0.50%,6.00%,0.00%,11.30%,4.50%,(X)
ZCTA5 19136,,,,,,,,,,
    Estimate,"34,741",,"24,218","5,732",54,"1,341",10,"2,190","1,196","13,518"
    Percent,"34,741",,69.70%,16.50%,0.20%,3.90%,0.00%,6.30%,3.40%,(X)
ZCTA5 19137,,,,,,,,,,
    Estimate,"8,347",,"7,562",321,36,33,0,258,137,"3,546"
    Percent,"8,347",,90.60%,3.80%,0.40%,0.40%,0.00%,3.10%,1.60%,(X)
ZCTA5 19138,,,,,,,,,,
    Estimate,"32,766",,991,"30,268",2,74,13,270,"1,148","13,915"
    Percent,"32,766",,3.00%,92.40%,0.00%,0.20%,0.00%,0.80%,3.50%,(X)
ZCTA5 19139,,,,,,,,,,
    Estimate,"46,397",,"3,041","40,817",261,"1,155",41,402,680,"21,349"
    Percent,"46,397",,6.60%,88.00%,0.60%,2.50%,0.10%,0.90%,1.50%,(X)
ZCTA5 19140,,,,,,,,,,
    Estimate,"51,766",,"9,118","29,369",204,688,128,"11,045","1,214","22,519"
    Percent,"51,766",,17.60%,56.70%,0.40%,1.30%,0.20%,21.30%,2.30%,(X)
ZCTA5 19141,,,,,,,,,,
    Estimate,"34,701",,"2,565","28,686",28,"2,232",0,357,833,"14,314"
    Percent,"34,701",,7.40%,82.70%,0.10%,6.40%,0.00%,1.00%,2.40%,(X)
ZCTA5 19142,,,,,,,,,,
    Estimate,"29,078",,"1,773","24,200",261,"2,247",0,376,221,"11,434"
    Percent,"29,078",,6.10%,83.20%,0.90%,7.70%,0.00%,1.30%,0.80%,(X)
ZCTA5 19143,,,,,,,,,,
    Estimate,"64,630",,"9,294","51,287",153,"1,533",106,476,"1,781","30,584"
    Percent,"64,630",,14.40%,79.40%,0.20%,2.40%,0.20%,0.70%,2.80%,(X)
ZCTA5 19144,,,,,,,,,,
    Estimate,"43,884",,"7,549","33,560",180,"1,072",0,527,996,"22,318"
    Percent,"43,884",,17.20%,76.50%,0.40%,2.40%,0.00%,1.20%,2.30%,(X)
ZCTA5 19145,,,,,,,,,,
    Estimate,"46,052",,"23,260","14,427",451,"6,452",0,803,659,"20,373"
    Percent,"46,052",,50.50%,31.30%,1.00%,14.00%,0.00%,1.70%,1.40%,(X)
ZCTA5 19146,,,,,,,,,,
    Estimate,"39,282",,"20,644","14,705",47,"1,808",28,677,"1,373","20,211"
    Percent,"39,282",,52.60%,37.40%,0.10%,4.60%,0.10%,1.70%,3.50%,(X)
ZCTA5 19147,,,,,,,,,,
    Estimate,"38,472",,"28,375","3,491",30,"4,604",0,821,"1,151","19,695"
    Percent,"38,472",,73.80%,9.10%,0.10%,12.00%,0.00%,2.10%,3.00%,(X)
