Label (Grouping),Occupied housing units,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS),HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),MONTHLY HOUSING COSTS,MONTHLY HOUSING COSTS!!Median (dollars)
ZCTA5 19102,,,,,
    Occupied housing units,,,,,
        Estimate,"2,632",,"79,095",,"1,814"
    Owner-occupied housing units,,,,,
        Estimate,577,,"90,474",,"1,702"
    Renter-occupied housing units,,,,,
        Estimate,"2,055",,"77,232",,"1,921"
ZCTA5 19103,,,,,
    Occupied housing units,,,,,
        Estimate,"14,974",,"66,210",,"1,485"
    Owner-occupied housing units,,,,,
        Estimate,"5,188",,"102,936",,"1,828"
    Renter-occupied housing units,,,,,
        Estimate,"9,786",,"52,387",,"1,433"
ZCTA5 19104,,,,,
    Occupied housing units,,,,,
        Estimate,"15,243",,"18,933",,837
    Owner-occupied housing units,,,,,
        Estimate,"2,953",,"41,132",,640
    Renter-occupied housing units,,,,,
        Estimate,"12,290",,"14,689",,862
ZCTA5 19106,,,,,
    Occupied housing units,,,,,
        Estimate,"6,121",,"100,653",,"1,676"
    Owner-occupied housing units,,,,,
        Estimate,"2,683",,"123,107",,"1,913"
    Renter-occupied housing units,,,,,
        Estimate,"3,438",,"87,563",,"1,657"
ZCTA5 19107,,,,,
    Occupied housing units,,,,,
        Estimate,"6,542",,"42,541",,"1,127"
    Owner-occupied housing units,,,,,
        Estimate,"1,251",,"84,117",,"1,315"
    Renter-occupied housing units,,,,,
        Estimate,"5,291",,"38,002",,"1,108"
ZCTA5 19111,,,,,
    Occupied housing units,,,,,
        Estimate,"23,754",,"43,813",,991
    Owner-occupied housing units,,,,,
        Estimate,"13,370",,"57,378",,"1,137"
    Renter-occupied housing units,,,,,
        Estimate,"10,384",,"31,503",,914
ZCTA5 19112,,,,,
    Occupied housing units,,,,,
        Estimate,0,,-,,-
    Owner-occupied housing units,,,,,
        Estimate,0,,-,,-
    Renter-occupied housing units,,,,,
        Estimate,0,,-,,-
ZCTA5 19114,,,,,
    Occupied housing units,,,,,
        Estimate,"12,753",,"52,342",,993
    Owner-occupied housing units,,,,,
        Estimate,"7,756",,"65,778",,"1,017"
    Renter-occupied housing units,,,,,
        Estimate,"4,997",,"37,072",,987
ZCTA5 19115,,,,,
    Occupied housing units,,,,,
        Estimate,"13,552",,"45,425",,961
    Owner-occupied housing units,,,,,
        Estimate,"8,101",,"64,907",,979
    Renter-occupied housing units,,,,,
        Estimate,"5,451",,"32,285",,951
ZCTA5 19116,,,,,
    Occupied housing units,,,,,
        Estimate,"12,602",,"48,534",,960
    Owner-occupied housing units,,,,,
        Estimate,"7,437",,"68,113",,"1,200"
    Renter-occupied housing units,,,,,
        Estimate,"5,165",,"25,864",,878
ZCTA5 19118,,,,,
    Occupied housing units,,,,,
        Estimate,"4,261",,"76,645",,"1,481"
    Owner-occupied housing units,,,,,
        Estimate,"2,028",,"138,232",,"2,130"
    Renter-occupied housing units,,,,,
        Estimate,"2,233",,"49,174",,"1,257"
ZCTA5 19119,,,,,
    Occupied housing units,,,,,
        Estimate,"12,128",,"54,478",,"1,092"
    Owner-occupied housing units,,,,,
        Estimate,"7,676",,"78,273",,"1,281"
    Renter-occupied housing units,,,,,
        Estimate,"4,452",,"31,743",,924
ZCTA5 19120,,,,,
    Occupied housing units,,,,,
        Estimate,"22,997",,"35,328",,905
    Owner-occupied housing units,,,,,
        Estimate,"13,097",,"45,484",,891
    Renter-occupied housing units,,,,,
        Estimate,"9,900",,"25,626",,919
ZCTA5 19121,,,,,
    Occupied housing units,,,,,
        Estimate,"12,119",,"16,500",,616
    Owner-occupied housing units,,,,,
        Estimate,"3,873",,"31,525",,567
    Renter-occupied housing units,,,,,
        Estimate,"8,246",,"12,100",,639
ZCTA5 19122,,,,,
    Occupied housing units,,,,,
        Estimate,"5,948",,"29,422",,668
    Owner-occupied housing units,,,,,
        Estimate,"2,455",,"45,663",,572
    Renter-occupied housing units,,,,,
        Estimate,"3,493",,"20,052",,696
ZCTA5 19123,,,,,
    Occupied housing units,,,,,
        Estimate,"6,268",,"49,629",,"1,201"
    Owner-occupied housing units,,,,,
        Estimate,"2,004",,"88,000",,"1,455"
    Renter-occupied housing units,,,,,
        Estimate,"4,264",,"37,713",,"1,081"
ZCTA5 19124,,,,,
    Occupied housing units,,,,,
        Estimate,"21,820",,"29,703",,846
    Owner-occupied housing units,,,,,
        Estimate,"11,886",,"38,292",,847
    Renter-occupied housing units,,,,,
        Estimate,"9,934",,"21,162",,846
ZCTA5 19125,,,,,
    Occupied housing units,,,,,
        Estimate,"9,091",,"41,756",,871
    Owner-occupied housing units,,,,,
        Estimate,"5,658",,"48,457",,846
    Renter-occupied housing units,,,,,
        Estimate,"3,433",,"31,821",,892
ZCTA5 19126,,,,,
    Occupied housing units,,,,,
        Estimate,"5,732",,"38,077",,902
    Owner-occupied housing units,,,,,
        Estimate,"3,676",,"54,840",,"1,007"
    Renter-occupied housing units,,,,,
        Estimate,"2,056",,"18,945",,856
ZCTA5 19127,,,,,
    Occupied housing units,,,,,
        Estimate,"2,255",,"65,071",,"1,335"
    Owner-occupied housing units,,,,,
        Estimate,971,,"67,207",,879
    Renter-occupied housing units,,,,,
        Estimate,"1,284",,"63,333",,"1,428"
ZCTA5 19128,,,,,
    Occupied housing units,,,,,
        Estimate,"15,295",,"62,587",,"1,250"
    Owner-occupied housing units,,,,,
        Estimate,"9,274",,"77,235",,"1,375"
    Renter-occupied housing units,,,,,
        Estimate,"6,021",,"50,933",,"1,166"
ZCTA5 19129,,,,,
    Occupied housing units,,,,,
        Estimate,"4,681",,"48,085",,"1,032"
    Owner-occupied housing units,,,,,
        Estimate,"2,574",,"55,274",,"1,023"
    Renter-occupied housing units,,,,,
        Estimate,"2,107",,"31,095",,"1,039"
ZCTA5 19130,,,,,
    Occupied housing units,,,,,
        Estimate,"12,402",,"66,994",,"1,353"
    Owner-occupied housing units,,,,,
        Estimate,"5,220",,"102,391",,"1,646"
    Renter-occupied housing units,,,,,
        Estimate,"7,182",,"50,717",,"1,227"
ZCTA5 19131,,,,,
    Occupied housing units,,,,,
        Estimate,"18,296",,"27,011",,863
    Owner-occupied housing units,,,,,
        Estimate,"8,237",,"38,331",,703
    Renter-occupied housing units,,,,,
        Estimate,"10,059",,"19,133",,925
ZCTA5 19132,,,,,
    Occupied housing units,,,,,
        Estimate,"13,494",,"22,487",,600
    Owner-occupied housing units,,,,,
        Estimate,"6,958",,"27,205",,447
    Renter-occupied housing units,,,,,
        Estimate,"6,536",,"18,701",,752
ZCTA5 19133,,,,,
    Occupied housing units,,,,,
        Estimate,"8,566",,"14,897",,514
