Label (Grouping),Occupied housing units,Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Occupied housing units!!MONTHLY HOUSING COSTS,Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)
ZCTA5 19102,,,,,
    Occupied housing units,,,,,
        Estimate,"3,365",,"110,096",,"2,119"
    Percent occupied housing units,,,,,
        Estimate,"3,365",,"110,096",,"2,119"
    Owner-occupied housing units,,,,,
        Estimate,859,,"187,636",,"2,162"
    Percent owner-occupied housing units,,,,,
        Estimate,859,,"187,636",,"2,162"
    Renter-occupied housing units,,,,,
        Estimate,"2,506",,"95,128",,"2,114"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,506",,"95,128",,"2,114"
ZCTA5 19103,,,,,
    Occupied housing units,,,,,
        Estimate,"15,765",,"79,110",,"1,787"
    Percent occupied housing units,,,,,
        Estimate,"15,765",,"79,110",,"1,787"
    Owner-occupied housing units,,,,,
        Estimate,"4,567",,"130,673",,"1,950"
    Percent owner-occupied housing units,,,,,
        Estimate,"4,567",,"130,673",,"1,950"
    Renter-occupied housing units,,,,,
        Estimate,"11,198",,"74,336",,"1,770"
    Percent renter-occupied housing units,,,,,
        Estimate,"11,198",,"74,336",,"1,770"
ZCTA5 19104,,,,,
    Occupied housing units,,,,,
        Estimate,"16,508",,"28,603",,977
    Percent occupied housing units,,,,,
        Estimate,"16,508",,"28,603",,977
    Owner-occupied housing units,,,,,
        Estimate,"3,460",,"55,045",,752
    Percent owner-occupied housing units,,,,,
        Estimate,"3,460",,"55,045",,752
    Renter-occupied housing units,,,,,
        Estimate,"13,048",,"23,953",,"1,008"
    Percent renter-occupied housing units,,,,,
        Estimate,"13,048",,"23,953",,"1,008"
ZCTA5 19106,,,,,
    Occupied housing units,,,,,
        Estimate,"7,625",,"116,368",,"1,939"
    Percent occupied housing units,,,,,
        Estimate,"7,625",,"116,368",,"1,939"
    Owner-occupied housing units,,,,,
        Estimate,"3,659",,"163,750",,"2,225"
    Percent owner-occupied housing units,,,,,
        Estimate,"3,659",,"163,750",,"2,225"
    Renter-occupied housing units,,,,,
        Estimate,"3,966",,"97,548",,"1,830"
    Percent renter-occupied housing units,,,,,
        Estimate,"3,966",,"97,548",,"1,830"
ZCTA5 19107,,,,,
    Occupied housing units,,,,,
        Estimate,"7,823",,"60,676",,"1,452"
    Percent occupied housing units,,,,,
        Estimate,"7,823",,"60,676",,"1,452"
    Owner-occupied housing units,,,,,
        Estimate,"1,646",,"111,818",,"1,785"
    Percent owner-occupied housing units,,,,,
        Estimate,"1,646",,"111,818",,"1,785"
    Renter-occupied housing units,,,,,
        Estimate,"6,177",,"52,083",,"1,384"
    Percent renter-occupied housing units,,,,,
        Estimate,"6,177",,"52,083",,"1,384"
ZCTA5 19111,,,,,
    Occupied housing units,,,,,
        Estimate,"24,355",,"51,567",,"1,047"
    Percent occupied housing units,,,,,
        Estimate,"24,355",,"51,567",,"1,047"
    Owner-occupied housing units,,,,,
        Estimate,"14,266",,"66,204",,"1,061"
    Percent owner-occupied housing units,,,,,
        Estimate,"14,266",,"66,204",,"1,061"
    Renter-occupied housing units,,,,,
        Estimate,"10,089",,"35,852",,"1,038"
    Percent renter-occupied housing units,,,,,
        Estimate,"10,089",,"35,852",,"1,038"
ZCTA5 19112,,,,,
    Occupied housing units,,,,,
        Estimate,0,,-,,-
    Percent occupied housing units,,,,,
        Estimate,0,,-,,-
    Owner-occupied housing units,,,,,
        Estimate,0,,-,,-
    Percent owner-occupied housing units,,,,,
        Estimate,0,,-,,-
    Renter-occupied housing units,,,,,
        Estimate,0,,-,,-
    Percent renter-occupied housing units,,,,,
        Estimate,0,,-,,-
ZCTA5 19114,,,,,
    Occupied housing units,,,,,
        Estimate,"13,032",,"65,893",,"1,156"
    Percent occupied housing units,,,,,
        Estimate,"13,032",,"65,893",,"1,156"
    Owner-occupied housing units,,,,,
        Estimate,"8,521",,"83,114",,"1,127"
    Percent owner-occupied housing units,,,,,
        Estimate,"8,521",,"83,114",,"1,127"
    Renter-occupied housing units,,,,,
        Estimate,"4,511",,"41,665",,"1,170"
    Percent renter-occupied housing units,,,,,
        Estimate,"4,511",,"41,665",,"1,170"
ZCTA5 19115,,,,,
    Occupied housing units,,,,,
        Estimate,"14,391",,"57,323",,"1,063"
    Percent occupied housing units,,,,,
        Estimate,"14,391",,"57,323",,"1,063"
    Owner-occupied housing units,,,,,
        Estimate,"8,646",,"85,612",,"1,145"
    Percent owner-occupied housing units,,,,,
        Estimate,"8,646",,"85,612",,"1,145"
    Renter-occupied housing units,,,,,
        Estimate,"5,745",,"38,001",,"1,032"
    Percent renter-occupied housing units,,,,,
        Estimate,"5,745",,"38,001",,"1,032"
ZCTA5 19116,,,,,
    Occupied housing units,,,,,
        Estimate,"12,850",,"58,203",,"1,086"
    Percent occupied housing units,,,,,
        Estimate,"12,850",,"58,203",,"1,086"
    Owner-occupied housing units,,,,,
        Estimate,"7,388",,"84,886",,"1,187"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,388",,"84,886",,"1,187"
    Renter-occupied housing units,,,,,
        Estimate,"5,462",,"35,769",,"1,055"
    Percent renter-occupied housing units,,,,,
        Estimate,"5,462",,"35,769",,"1,055"
ZCTA5 19118,,,,,
    Occupied housing units,,,,,
        Estimate,"4,651",,"85,766",,"1,637"
    Percent occupied housing units,,,,,
        Estimate,"4,651",,"85,766",,"1,637"
    Owner-occupied housing units,,,,,
        Estimate,"2,296",,"137,692",,"1,878"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,296",,"137,692",,"1,878"
    Renter-occupied housing units,,,,,
        Estimate,"2,355",,"56,733",,"1,544"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,355",,"56,733",,"1,544"
ZCTA5 19119,,,,,
    Occupied housing units,,,,,
        Estimate,"11,846",,"73,671",,"1,166"
    Percent occupied housing units,,,,,
        Estimate,"11,846",,"73,671",,"1,166"
    Owner-occupied housing units,,,,,
        Estimate,"7,737",,"93,576",,"1,317"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,737",,"93,576",,"1,317"
    Renter-occupied housing units,,,,,
        Estimate,"4,109",,"42,045",,"1,061"
    Percent renter-occupied housing units,,,,,
        Estimate,"4,109",,"42,045",,"1,061"
ZCTA5 19120,,,,,
    Occupied housing units,,,,,
        Estimate,"24,531",,"38,996",,891
    Percent occupied housing units,,,,,
        Estimate,"24,531",,"38,996",,891
    Owner-occupied housing units,,,,,
        Estimate,"14,742",,"50,000",,834
    Percent owner-occupied housing units,,,,,
        Estimate,"14,742",,"50,000",,834
